"Module","Role","Component","Functionality / Description"
"Authentication","All","Splash Screen","Initialization, session checking, and routing to respective dashboards."
"Authentication","All","Login Screen","User authentication and role-based redirection."
"Authentication","All","Register Screen","User registration with selection of role (Farmer or Owner)."
"Admin Dashboard","Admin","Admin Home Screen","Overview of overall platform metrics and quick access links."
"Admin Dashboard","Admin","Analytics Screen","Detailed statistical reports on total bookings, revenue, and user growth."
"Admin Dashboard","Admin","Manage Users Screen","Administration of user accounts (viewing, editing, deactivating)."
"Admin Dashboard","Admin","Manage Vehicles Screen","Monitoring of all vehicle listings and moderation capabilities."
"Admin Dashboard","Admin","View Bookings Screen","System-wide oversight of all transactions and rental statuses."
"Owner Workspace","Owner","Owner Home Screen","Summary of owner's vehicles, active bookings, and quick actions."
"Owner Workspace","Owner","Owner Profile Screen","Management of personal information and account settings."
"Owner Workspace","Owner","Add Vehicle Screen","Listing new agricultural equipment with specifications, images, and pricing."
"Owner Workspace","Owner","Edit Vehicle Screen","Updating existing equipment details, pricing, and availability."
"Owner Workspace","Owner","Manage Bookings Screen","Reviewing, approving, or rejecting incoming rental requests from farmers."
"Owner Workspace","Owner","Earnings Screen","Tracking financial earnings generated from completed rentals."
"Farmer Workspace","Farmer","Farmer Home Screen","Discovery dashboard featuring available equipment and categories."
"Farmer Workspace","Farmer","Farmer Profile Screen","Management of personal information and account settings."
"Farmer Workspace","Farmer","Search Vehicles Screen","Advanced search and filtering by equipment type, location, and price."
"Farmer Workspace","Farmer","Vehicle Detail Screen","Viewing detailed specifications, owner info, images, and reviews for an equipment."
"Farmer Workspace","Farmer","Book Vehicle Screen","Selecting rental dates, calculating costs, and submitting booking requests."
"Farmer Workspace","Farmer","Booking History Screen","Tracking the status of current, upcoming, and past rental requests."
"Core System Models","System","User Model","Defines schema for Admin, Farmer, and Owner profiles."
"Core System Models","System","Vehicle Model","Defines schema for equipment attributes (type, rate, capacity, status)."
"Core System Models","System","Booking Model","Manages the state machine of a rental (Pending, Approved, Ongoing, Completed, Cancelled)."
"Core System Models","System","Notification Model","Handles system alerts for booking status changes and messages."
"Core System Models","System","Payment Model","Tracks financial transactions and payment gateway statuses."
"Core System Models","System","Review Model","Stores user feedback and ratings for equipment and owners."
